order_id,user_id,product_id,quantity,price_cny,order_date,total_cny,name_x,category,cost_cny,name_y,region,signup_date,tier,total_usd,margin_usd
1001,U01,P10,2,199.0,2025-11-01,398.0,wireless_earbuds,electronics,80.0,alice,east,2024-01-15,gold,54.92,32.84
1002,U02,P20,1,2499.0,2025-11-02,2499.0,smart_watch,electronics,1200.0,bob,north,2024-03-22,silver,344.86,179.26
1003,U01,P30,3,59.9,2025-11-03,179.7,phone_case,accessories,15.0,alice,east,2024-01-15,gold,24.8,18.59
1004,U03,P10,1,199.0,2025-11-04,199.0,wireless_earbuds,electronics,80.0,charlie,east,2024-06-10,bronze,27.46,16.42
1005,U04,P20,2,2499.0,2025-11-05,4998.0,smart_watch,electronics,1200.0,diana,south,2024-08-01,gold,689.72,358.52
1006,U02,P40,1,899.0,2025-11-06,899.0,bluetooth_speaker,electronics,350.0,bob,north,2024-03-22,silver,124.06,75.76
1007,U05,P30,5,59.9,2025-11-07,299.5,phone_case,accessories,15.0,eric,west,2025-01-05,bronze,41.33,30.98
1008,U03,P50,1,3299.0,2025-11-08,3299.0,laptop_stand,office,1500.0,charlie,east,2024-06-10,bronze,455.26,248.26
1009,U01,P40,1,899.0,2025-11-10,899.0,bluetooth_speaker,electronics,350.0,alice,east,2024-01-15,gold,124.06,75.76
1010,U06,P10,4,199.0,2025-11-12,796.0,wireless_earbuds,electronics,80.0,fiona,north,2025-04-20,silver,109.85,65.69
1011,U04,P50,1,3299.0,2025-11-15,3299.0,laptop_stand,office,1500.0,diana,south,2024-08-01,gold,455.26,248.26
1012,U07,P20,1,2499.0,2025-11-18,2499.0,smart_watch,electronics,1200.0,george,east,2025-09-12,bronze,344.86,179.26
